Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours),Loss_per_User
USA,2019,Malware,Education,1.05,93580,Nation-state,Unpatched Software,VPN,21,11.22
China,2019,Malware,Retail,26.66,303469,Insider,Social Engineering,VPN,60,87.85
USA,2024,Malware,Telecommunications,0.71,28436,Unknown,Unpatched Software,Encryption,66,24.97
France,2015,Phishing,Healthcare,41.92,383484,Unknown,Unpatched Software,VPN,52,109.31
Germany,2017,DDoS,Telecommunications,40.05,27446,Insider,Social Engineering,AI-based Detection,13,1459.23
Japan,2020,Phishing,Healthcare,73.13,39276,Nation-state,Unpatched Software,Firewall,29,1861.95
Brazil,2024,SQL Injection,IT,33.94,88304,Nation-state,Zero-day,Encryption,41,384.35
Brazil,2019,Malware,Government,4.95,281096,Nation-state,Zero-day,AI-based Detection,2,17.61
Australia,2018,SQL Injection,Banking,50.23,793612,Nation-state,Zero-day,Firewall,12,63.29
UK,2016,Malware,Banking,49.92,848188,Nation-state,Unpatched Software,VPN,12,58.85
India,2016,Man-in-the-Middle,IT,70.24,374767,Unknown,Unpatched Software,Antivirus,67,187.42
France,2019,DDoS,Telecommunications,85.65,835349,Nation-state,Unpatched Software,VPN,8,102.53
Japan,2020,SQL Injection,Banking,64.25,877560,Nation-state,Weak Passwords,Encryption,61,73.21
Germany,2016,Man-in-the-Middle,Government,58.93,249279,Unknown,Weak Passwords,VPN,58,236.4
Japan,2017,Ransomware,Government,9.24,126143,Unknown,Weak Passwords,Antivirus,35,73.25
France,2021,Malware,Government,50.84,7910,Unknown,Unpatched Software,Firewall,19,6427.31
Brazil,2020,SQL Injection,Education,85.12,732802,Nation-state,Weak Passwords,Antivirus,62,116.16
USA,2019,DDoS,Telecommunications,12.13,426349,Hacker Group,Unpatched Software,Encryption,44,28.45
China,2019,Man-in-the-Middle,Telecommunications,6.24,739538,Nation-state,Zero-day,Encryption,5,8.44
UK,2016,SQL Injection,Retail,17.98,251689,Nation-state,Social Engineering,Antivirus,1,71.44
Germany,2015,Malware,Education,75.2,461291,Insider,Social Engineering,AI-based Detection,5,163.02
UK,2021,Man-in-the-Middle,Banking,71.88,757595,Insider,Weak Passwords,VPN,40,94.88
Japan,2024,Man-in-the-Middle,Retail,12.62,970866,Hacker Group,Weak Passwords,Firewall,13,13.0
Brazil,2021,Malware,Government,79.56,334916,Nation-state,Weak Passwords,Firewall,35,237.55
UK,2019,Man-in-the-Middle,IT,35.37,384185,Insider,Weak Passwords,Firewall,71,92.07
Australia,2016,Phishing,Education,98.72,6670,Nation-state,Social Engineering,VPN,24,14800.6
France,2016,Man-in-the-Middle,IT,62.08,801177,Nation-state,Social Engineering,Encryption,11,77.49
Russia,2016,Ransomware,Banking,28.79,183711,Insider,Zero-day,Encryption,50,156.71
France,2015,Malware,Retail,83.45,573985,Insider,Weak Passwords,AI-based Detection,45,145.39
Japan,2018,DDoS,Healthcare,88.04,675172,Nation-state,Weak Passwords,Antivirus,43,130.4
Germany,2018,DDoS,Government,35.76,716770,Insider,Unpatched Software,Encryption,2,49.89
Australia,2016,DDoS,IT,43.19,825866,Unknown,Weak Passwords,Firewall,23,52.3
USA,2019,Ransomware,Healthcare,92.43,206631,Unknown,Zero-day,AI-based Detection,64,447.32
Germany,2016,Phishing,Banking,40.18,153211,Nation-state,Weak Passwords,Encryption,43,262.25
Japan,2018,SQL Injection,IT,48.91,322255,Nation-state,Zero-day,AI-based Detection,41,151.77
China,2021,Ransomware,Telecommunications,44.84,16106,Nation-state,Weak Passwords,Firewall,29,2784.06
USA,2021,Man-in-the-Middle,Education,51.43,640851,Unknown,Zero-day,VPN,11,80.25
Japan,2022,Phishing,Banking,12.42,570853,Unknown,Unpatched Software,Encryption,4,21.76
USA,2023,SQL Injection,Banking,98.91,995462,Unknown,Unpatched Software,Firewall,33,99.36
Russia,2015,Ransomware,Telecommunications,64.68,716832,Hacker Group,Social Engineering,VPN,67,90.23
USA,2015,Malware,Retail,41.34,677462,Unknown,Unpatched Software,AI-based Detection,45,61.02
France,2020,DDoS,IT,52.09,362499,Insider,Unpatched Software,Encryption,4,143.7
India,2023,DDoS,Retail,26.01,274512,Insider,Weak Passwords,AI-based Detection,69,94.75
Germany,2017,Malware,Government,63.97,590555,Nation-state,Social Engineering,AI-based Detection,27,108.32
Australia,2024,Phishing,Telecommunications,42.28,297456,Nation-state,Zero-day,VPN,20,142.14
Russia,2015,Ransomware,Government,2.73,465465,Nation-state,Unpatched Software,Encryption,60,5.87
India,2023,Man-in-the-Middle,IT,58.9,24387,Hacker Group,Unpatched Software,Encryption,29,2415.22
France,2020,Man-in-the-Middle,Education,35.12,871001,Nation-state,Zero-day,Antivirus,39,40.32
Brazil,2019,Malware,IT,8.31,989421,Unknown,Zero-day,Firewall,46,8.4
France,2015,Phishing,Retail,84.86,190100,Nation-state,Zero-day,AI-based Detection,69,446.4
France,2018,SQL Injection,IT,63.56,3324,Unknown,Zero-day,Encryption,65,19121.54
UK,2024,Malware,Retail,33.24,851177,Insider,Unpatched Software,Encryption,53,39.05
Russia,2015,Malware,Healthcare,35.11,477346,Unknown,Social Engineering,Firewall,8,73.55
USA,2021,Malware,Healthcare,49.73,386686,Insider,Zero-day,AI-based Detection,7,128.61
Russia,2016,DDoS,Banking,87.62,922456,Insider,Zero-day,VPN,67,94.99
China,2021,DDoS,Telecommunications,84.09,954379,Insider,Social Engineering,VPN,59,88.11
Germany,2024,Phishing,Telecommunications,36.34,887186,Insider,Weak Passwords,Antivirus,8,40.96
India,2018,Malware,Education,41.28,197323,Hacker Group,Social Engineering,Antivirus,47,209.2
India,2016,Malware,IT,34.78,294587,Unknown,Social Engineering,AI-based Detection,43,118.06
UK,2022,Man-in-the-Middle,Telecommunications,88.71,191263,Hacker Group,Unpatched Software,Encryption,68,463.81
France,2017,Ransomware,Healthcare,88.79,332214,Nation-state,Social Engineering,Antivirus,16,267.27
China,2024,Man-in-the-Middle,Government,56.26,196531,Hacker Group,Zero-day,Firewall,45,286.27
Brazil,2021,SQL Injection,Banking,4.34,258021,Hacker Group,Unpatched Software,Encryption,46,16.82
Russia,2021,Ransomware,Healthcare,85.65,920121,Unknown,Social Engineering,Antivirus,21,93.09
Australia,2021,SQL Injection,IT,4.52,971908,Unknown,Zero-day,AI-based Detection,16,4.65
France,2017,Ransomware,IT,27.19,760590,Nation-state,Weak Passwords,Encryption,9,35.75
UK,2023,Man-in-the-Middle,Government,45.16,569044,Hacker Group,Social Engineering,Antivirus,27,79.36
France,2021,SQL Injection,Government,2.3,841324,Unknown,Weak Passwords,Encryption,8,2.73
Japan,2022,Malware,Government,71.54,668679,Unknown,Social Engineering,VPN,27,106.99
India,2022,SQL Injection,Banking,27.86,310150,Unknown,Unpatched Software,AI-based Detection,21,89.83
Germany,2016,Man-in-the-Middle,IT,13.21,549414,Unknown,Social Engineering,Encryption,70,24.04
Australia,2015,DDoS,Government,11.89,731839,Unknown,Zero-day,AI-based Detection,14,16.25
Brazil,2023,SQL Injection,Healthcare,76.58,626352,Hacker Group,Social Engineering,Encryption,33,122.26
India,2022,DDoS,Banking,92.23,626017,Unknown,Unpatched Software,Antivirus,1,147.33
Australia,2019,DDoS,Telecommunications,70.7,172782,Unknown,Social Engineering,VPN,2,409.19
France,2021,Ransomware,Government,2.39,665023,Insider,Unpatched Software,Firewall,49,3.59
Germany,2018,Man-in-the-Middle,Banking,89.87,15909,Nation-state,Zero-day,Antivirus,19,5649.0
UK,2023,Man-in-the-Middle,Banking,24.28,998547,Unknown,Weak Passwords,Antivirus,46,24.32
Australia,2019,DDoS,IT,58.3,76358,Nation-state,Weak Passwords,Encryption,58,763.51
Germany,2024,Man-in-the-Middle,IT,84.19,89704,Hacker Group,Social Engineering,Antivirus,26,938.53
Russia,2024,Man-in-the-Middle,Education,72.02,191361,Hacker Group,Unpatched Software,AI-based Detection,11,376.36
Germany,2023,Man-in-the-Middle,Government,0.61,200862,Insider,Social Engineering,Encryption,13,3.04
USA,2017,Malware,Government,89.49,4966,Hacker Group,Social Engineering,AI-based Detection,41,18020.54
Japan,2018,Phishing,Education,34.06,344674,Unknown,Weak Passwords,Antivirus,19,98.82
USA,2020,Phishing,Government,37.66,449424,Unknown,Unpatched Software,Firewall,3,83.8
Germany,2020,Phishing,Healthcare,69.2,162807,Hacker Group,Unpatched Software,Encryption,4,425.04
India,2024,DDoS,Banking,47.1,21292,Insider,Social Engineering,Antivirus,10,2212.1
Australia,2023,Malware,Banking,25.7,993215,Nation-state,Zero-day,AI-based Detection,56,25.88
Australia,2017,DDoS,Banking,16.58,744201,Hacker Group,Zero-day,VPN,7,22.28
Japan,2017,Phishing,Banking,61.33,762300,Nation-state,Social Engineering,VPN,20,80.45
France,2018,DDoS,Government,14.1,764003,Insider,Zero-day,AI-based Detection,43,18.46
China,2019,DDoS,Banking,33.88,761910,Hacker Group,Zero-day,Antivirus,27,44.47
France,2023,Ransomware,IT,87.45,296050,Insider,Weak Passwords,VPN,30,295.39
France,2020,Malware,Government,27.43,82853,Hacker Group,Social Engineering,Encryption,67,331.07
Japan,2022,SQL Injection,Banking,34.03,700439,Insider,Zero-day,Encryption,41,48.58
Russia,2022,SQL Injection,Retail,6.61,351048,Insider,Unpatched Software,VPN,57,18.83
China,2020,Phishing,Retail,17.99,36963,Insider,Zero-day,VPN,54,486.7
France,2021,Ransomware,IT,99.77,533151,Nation-state,Zero-day,Antivirus,43,187.13
Germany,2018,Man-in-the-Middle,Healthcare,61.93,62185,Nation-state,Social Engineering,Encryption,32,995.9
USA,2016,DDoS,Education,48.83,231299,Unknown,Unpatched Software,Encryption,58,211.11
UK,2017,SQL Injection,Retail,47.99,914365,Insider,Weak Passwords,Firewall,52,52.48
Japan,2024,Ransomware,Retail,47.44,696953,Nation-state,Zero-day,Firewall,54,68.07
Russia,2015,Malware,Education,24.47,977607,Hacker Group,Zero-day,AI-based Detection,62,25.03
Australia,2020,Ransomware,Retail,71.03,91228,Hacker Group,Social Engineering,Antivirus,22,778.6
China,2016,Phishing,Government,59.95,417253,Insider,Weak Passwords,VPN,16,143.68
France,2021,Man-in-the-Middle,Government,44.03,60431,Hacker Group,Weak Passwords,AI-based Detection,59,728.6
Japan,2016,Man-in-the-Middle,Healthcare,44.69,567209,Hacker Group,Social Engineering,Antivirus,1,78.79
France,2015,SQL Injection,IT,70.18,596168,Nation-state,Zero-day,Encryption,15,117.72
Japan,2024,Malware,Telecommunications,49.88,437357,Unknown,Weak Passwords,AI-based Detection,56,114.05
Australia,2016,Ransomware,IT,43.88,588421,Nation-state,Unpatched Software,Encryption,72,74.57
UK,2017,Phishing,IT,57.17,477292,Nation-state,Social Engineering,AI-based Detection,18,119.78
Germany,2018,Phishing,Education,16.76,163839,Insider,Social Engineering,Encryption,19,102.3
UK,2024,SQL Injection,IT,65.06,922676,Unknown,Zero-day,VPN,6,70.51
UK,2023,Malware,Education,34.66,941720,Nation-state,Zero-day,Antivirus,71,36.8
Germany,2019,Phishing,Government,49.71,647613,Unknown,Social Engineering,Antivirus,53,76.76
Australia,2016,Ransomware,Telecommunications,27.17,429456,Hacker Group,Social Engineering,VPN,28,63.27
India,2020,Phishing,Government,85.73,340643,Unknown,Zero-day,Firewall,72,251.67
France,2021,Malware,Education,55.66,21833,Hacker Group,Zero-day,Encryption,2,2549.35
Japan,2018,Phishing,Education,3.6,598297,Insider,Social Engineering,VPN,49,6.02
Australia,2023,Phishing,Retail,78.28,92925,Insider,Zero-day,VPN,53,842.4
Germany,2020,SQL Injection,Retail,70.09,98500,Hacker Group,Unpatched Software,Antivirus,30,711.57
Japan,2020,SQL Injection,IT,64.56,820070,Hacker Group,Weak Passwords,Encryption,70,78.72
UK,2024,Phishing,Banking,66.65,170892,Unknown,Zero-day,AI-based Detection,47,390.01
Brazil,2024,Ransomware,Healthcare,60.13,887531,Hacker Group,Social Engineering,Encryption,51,67.75
Australia,2024,DDoS,IT,57.81,179507,Insider,Weak Passwords,VPN,8,322.05
Russia,2023,DDoS,Banking,78.71,315219,Unknown,Social Engineering,Antivirus,30,249.7
USA,2016,Phishing,Government,63.35,223827,Insider,Zero-day,Antivirus,21,283.03
France,2016,DDoS,Healthcare,47.01,254371,Unknown,Zero-day,Antivirus,13,184.81
Japan,2023,DDoS,Government,67.59,839088,Unknown,Unpatched Software,VPN,62,80.55
China,2017,DDoS,IT,17.49,394109,Unknown,Unpatched Software,AI-based Detection,37,44.38
France,2019,DDoS,IT,75.84,877224,Unknown,Unpatched Software,Encryption,57,86.45
Japan,2020,Phishing,Telecommunications,91.52,846884,Nation-state,Social Engineering,AI-based Detection,42,108.07
UK,2020,Malware,IT,44.05,100972,Nation-state,Unpatched Software,Antivirus,54,436.26
UK,2017,DDoS,Education,40.18,148447,Insider,Zero-day,AI-based Detection,39,270.67
France,2017,SQL Injection,IT,44.56,698908,Nation-state,Zero-day,Antivirus,32,63.76
India,2022,SQL Injection,Government,53.89,633626,Nation-state,Social Engineering,Antivirus,54,85.05
Germany,2021,Malware,Government,88.01,334748,Unknown,Zero-day,Encryption,5,262.91
China,2023,Phishing,Banking,55.94,383589,Unknown,Weak Passwords,Firewall,7,145.83
Germany,2018,Ransomware,Education,90.48,901880,Unknown,Social Engineering,VPN,16,100.32
Russia,2018,SQL Injection,Education,40.59,598151,Nation-state,Unpatched Software,AI-based Detection,34,67.86
France,2016,DDoS,Banking,77.29,120341,Nation-state,Zero-day,VPN,45,642.26
Australia,2023,Phishing,Government,91.02,305005,Hacker Group,Zero-day,Firewall,71,298.42
Germany,2024,Man-in-the-Middle,Retail,46.41,494622,Hacker Group,Social Engineering,VPN,37,93.83
Germany,2021,SQL Injection,Banking,69.07,264662,Insider,Social Engineering,AI-based Detection,46,260.97
India,2021,SQL Injection,Healthcare,2.3,942089,Insider,Unpatched Software,VPN,39,2.44
France,2016,Man-in-the-Middle,Education,33.45,779870,Nation-state,Zero-day,Firewall,6,42.89
UK,2015,Phishing,IT,15.27,407233,Insider,Unpatched Software,Antivirus,72,37.5
Russia,2019,Malware,Banking,98.59,148622,Nation-state,Weak Passwords,Firewall,6,663.36
Brazil,2023,Ransomware,Healthcare,30.45,480773,Hacker Group,Weak Passwords,Encryption,52,63.34
UK,2023,Malware,IT,22.24,946994,Unknown,Zero-day,VPN,13,23.48
Japan,2015,Malware,Retail,9.75,559143,Nation-state,Social Engineering,VPN,69,17.44
Brazil,2017,Man-in-the-Middle,Education,67.55,287646,Nation-state,Social Engineering,VPN,68,234.84
China,2019,SQL Injection,Retail,26.97,19575,Insider,Zero-day,AI-based Detection,1,1377.78
China,2015,Malware,Retail,73.45,701505,Hacker Group,Social Engineering,Antivirus,36,104.7
China,2021,Ransomware,Retail,40.01,998728,Unknown,Weak Passwords,AI-based Detection,68,40.06
France,2021,SQL Injection,Telecommunications,52.67,434504,Unknown,Social Engineering,AI-based Detection,46,121.22
Australia,2021,Ransomware,Retail,61.46,860546,Unknown,Zero-day,AI-based Detection,22,71.42
Brazil,2020,SQL Injection,Education,62.72,827349,Nation-state,Unpatched Software,VPN,68,75.81
Japan,2018,DDoS,IT,2.65,145427,Nation-state,Social Engineering,VPN,28,18.22
Russia,2022,Malware,Government,33.8,613718,Unknown,Unpatched Software,AI-based Detection,60,55.07
Australia,2018,Phishing,IT,61.47,239301,Unknown,Social Engineering,Antivirus,22,256.87
China,2017,Phishing,Education,16.82,848597,Hacker Group,Weak Passwords,AI-based Detection,11,19.82
Japan,2020,Man-in-the-Middle,Banking,73.85,278424,Nation-state,Zero-day,Encryption,9,265.24
Russia,2015,DDoS,Government,97.4,23096,Unknown,Weak Passwords,Firewall,38,4217.18
Russia,2022,Phishing,Education,33.49,68371,Nation-state,Unpatched Software,Firewall,57,489.83
China,2023,Ransomware,Healthcare,62.21,534686,Insider,Unpatched Software,AI-based Detection,44,116.35
China,2019,Man-in-the-Middle,Education,75.86,985505,Unknown,Social Engineering,Encryption,26,76.98
USA,2015,DDoS,Banking,98.39,306320,Insider,Unpatched Software,AI-based Detection,41,321.2
Japan,2023,DDoS,Government,17.69,799380,Unknown,Weak Passwords,AI-based Detection,57,22.13
USA,2023,DDoS,IT,55.14,529551,Unknown,Zero-day,VPN,61,104.13
Australia,2024,DDoS,IT,82.49,102295,Unknown,Weak Passwords,VPN,46,806.39
Australia,2022,Phishing,Banking,64.07,800131,Unknown,Zero-day,AI-based Detection,69,80.07
UK,2015,Ransomware,Banking,32.0,712739,Nation-state,Weak Passwords,Antivirus,17,44.9
Russia,2018,Phishing,Telecommunications,39.15,814119,Hacker Group,Weak Passwords,Firewall,64,48.09
India,2018,SQL Injection,Education,12.44,599905,Nation-state,Social Engineering,VPN,13,20.74
France,2017,DDoS,Healthcare,5.07,65117,Unknown,Social Engineering,Firewall,3,77.86
USA,2023,Phishing,Telecommunications,6.18,591348,Nation-state,Weak Passwords,Encryption,55,10.45
Japan,2023,Phishing,Retail,55.7,53447,Insider,Unpatched Software,AI-based Detection,43,1042.15
Germany,2024,Malware,IT,47.13,471379,Unknown,Unpatched Software,AI-based Detection,67,99.98
Russia,2017,SQL Injection,Banking,76.84,883919,Hacker Group,Social Engineering,VPN,8,86.93
Germany,2021,Malware,Telecommunications,78.46,606940,Insider,Social Engineering,AI-based Detection,32,129.27
India,2018,Man-in-the-Middle,Healthcare,56.88,416331,Hacker Group,Unpatched Software,Encryption,62,136.62
Russia,2019,Phishing,Banking,58.38,826778,Insider,Zero-day,AI-based Detection,59,70.61
China,2022,Ransomware,Healthcare,71.36,712697,Insider,Unpatched Software,AI-based Detection,39,100.13
UK,2023,Man-in-the-Middle,Government,48.19,450891,Nation-state,Social Engineering,Encryption,32,106.88
Russia,2016,Phishing,Healthcare,13.91,600700,Hacker Group,Zero-day,Firewall,28,23.16
Brazil,2019,DDoS,Education,44.51,119319,Nation-state,Zero-day,Firewall,9,373.03
UK,2017,Ransomware,Healthcare,55.45,490818,Hacker Group,Unpatched Software,VPN,65,112.97
Germany,2024,Ransomware,Telecommunications,17.92,155170,Insider,Zero-day,VPN,15,115.49
France,2017,Malware,Healthcare,41.37,783899,Hacker Group,Social Engineering,AI-based Detection,29,52.77
China,2020,Malware,Healthcare,24.78,275619,Nation-state,Weak Passwords,Antivirus,4,89.91
India,2024,SQL Injection,IT,8.85,746862,Nation-state,Unpatched Software,Encryption,51,11.85
India,2024,SQL Injection,Government,28.13,244429,Hacker Group,Zero-day,AI-based Detection,8,115.08
Russia,2016,SQL Injection,Government,52.59,287446,Hacker Group,Unpatched Software,Encryption,56,182.96
France,2023,DDoS,Retail,79.86,966469,Nation-state,Social Engineering,Antivirus,43,82.63
Australia,2021,DDoS,IT,47.83,126709,Unknown,Weak Passwords,Antivirus,45,377.48
Brazil,2019,Malware,IT,54.26,883977,Nation-state,Unpatched Software,Antivirus,47,61.38
Australia,2023,SQL Injection,Retail,78.57,805183,Unknown,Weak Passwords,VPN,37,97.58
Australia,2021,Malware,Telecommunications,77.63,434446,Unknown,Social Engineering,Encryption,28,178.69
France,2019,Ransomware,Education,2.27,63872,Nation-state,Unpatched Software,Firewall,55,35.54
France,2022,Ransomware,Education,59.0,131307,Hacker Group,Weak Passwords,AI-based Detection,46,449.33
Australia,2018,DDoS,Telecommunications,25.07,732072,Hacker Group,Social Engineering,Firewall,35,34.25
India,2016,Ransomware,IT,43.65,340213,Nation-state,Zero-day,Antivirus,15,128.3
China,2021,Phishing,Retail,41.97,617987,Insider,Social Engineering,Antivirus,23,67.91
India,2024,Malware,Government,56.13,629293,Insider,Weak Passwords,VPN,69,89.2
Russia,2019,SQL Injection,Healthcare,92.69,979308,Nation-state,Social Engineering,Firewall,10,94.65
France,2024,Phishing,Healthcare,14.38,278126,Unknown,Social Engineering,Antivirus,30,51.7
USA,2016,Man-in-the-Middle,Banking,57.26,852868,Unknown,Unpatched Software,Firewall,8,67.14
Brazil,2019,Phishing,Retail,35.61,43771,Nation-state,Zero-day,Encryption,49,813.55
China,2015,SQL Injection,Education,40.68,90689,Nation-state,Weak Passwords,Antivirus,40,448.57
France,2024,SQL Injection,Healthcare,31.91,931787,Hacker Group,Unpatched Software,Firewall,15,34.25
Germany,2017,DDoS,Education,98.61,992029,Nation-state,Unpatched Software,VPN,26,99.4
